type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PAR	NATL1A	42	3	1.90E+08	2.19E+07	1.26E+07	5.44E+07	NATL1A_PAR_42	Bac	NATL1A_PAR	8.277127193	0.049356729	0.028496121	0.122608911
PAR	NATL1A	45	3	2.15E+08	1.89E+07	1.09E+07	4.69E+07	NATL1A_PAR_45	Bac	NATL1A_PAR	8.331631895	0.039051022	0.022546118	0.097008116
PC	NATL1A	0	3	2.30E+06	7.80E+05	4.50E+05	1.94E+06	NATL1A_PC_0	Bac	NATL1A_PC	6.346515989	0.142398759	0.082213962	0.353738127
PC	NATL1A	3	3	7.34E+06	6.01E+05	3.47E+05	1.49E+06	NATL1A_PC_3	Bac	NATL1A_PC	6.864508447	0.036495216	0.021070523	0.090659143
PC	NATL1A	6	3	9.23E+06	9.35E+04	5.40E+04	2.32E+05	NATL1A_PC_6	Bac	NATL1A_PC	6.965289383	0.004411833	0.002547173	0.010959602
PC	NATL1A	9	3	9.11E+06	4.14E+05	2.39E+05	1.03E+06	NATL1A_PC_9	Bac	NATL1A_PC	6.959336357	0.019503856	0.011260557	0.048450265
PC	NATL1A	12	3	9.98E+06	2.47E+06	1.43E+06	6.14E+06	NATL1A_PC_12	Bac	NATL1A_PC	6.990821778	0.101766604	0.058754976	0.252802259
PC	NATL1A	14	3	8.61E+06	5.96E+05	3.44E+05	1.48E+06	NATL1A_PC_14	Bac	NATL1A_PC	6.93409705	0.030131137	0.01739622	0.074849893
PC	NATL1A	18	3	8.48E+06	6.14E+05	3.55E+05	1.53E+06	NATL1A_PC_18	Bac	NATL1A_PC	6.927559512	0.031914997	0.018426132	0.079281248
PC	NATL1A	21	3	8.82E+06	4.01E+05	2.32E+05	9.96E+05	NATL1A_PC_21	Bac	NATL1A_PC	6.945310668	0.019992801	0.011542849	0.049664871
PC	NATL1A	24	3	9.18E+06	3.35E+05	1.94E+05	8.33E+05	NATL1A_PC_24	Bac	NATL1A_PC	6.962583414	0.015951403	0.009209547	0.039625481
